,timestamp,us,acc,ang,label
5910,55:17.5,190010492,1034.6215,2.3502746,0
5911,55:17.6,190042552,1037.2319,2.1705728,0
5912,55:17.6,190074596,1034.6864,2.1145127,0
5913,55:17.6,190106648,1041.8621,2.2963843,0
5914,55:17.7,190138696,1037.8691,1.9765139,0
5915,55:17.7,190170740,1034.2596,2.2614045,0
5916,55:17.7,190202780,1038.6558,2.32445,0
5917,55:17.7,190234824,1038.491,2.2941399,0
5918,55:17.8,190266884,1035.1842,2.2710106,0
5919,55:17.8,190298924,1040.1477,2.3808722,0
5920,55:17.8,190330968,1034.6855,2.0881279,0
5921,55:17.9,190362032,1039.1079,2.366859,0
5922,55:17.9,190394092,1036.8251,2.0928197,0
5923,55:18.0,190426136,1039.6522,2.4744067,0
5924,55:18.0,190458184,1037.0079,2.0309815,0
5925,55:18.0,190490228,1038.0375,2.3211172,0
5926,55:18.0,190522272,1032.4912,2.2184229,0
5927,55:18.1,190554324,1037.0441,2.1430588,0
5928,55:18.1,190586372,1039.028,2.2755685,0
5929,55:18.1,190618432,1038.5792,2.1506233,0
5930,55:18.2,190650476,1040.1462,2.5478752,0
5931,55:18.2,190682532,1033.6887,2.1203816,0
5932,55:18.2,190714576,1042.2732,2.4060671,0
5933,55:18.3,190746632,1037.2305,2.5100939,0
5934,55:18.3,190778676,1040.4952,2.1437106,0
5935,55:18.3,190810724,1036.8887,2.2721384,0
5936,55:18.4,190841780,1041.8217,2.5367362,0
5937,55:18.4,190873836,1039.1895,2.1470611,0
5938,55:18.4,190905884,1038.674,2.3237863,0
5939,55:18.5,190937936,1035.0977,2.3642139,0
5940,55:18.5,190969992,1037.3845,2.5251105,0
5941,55:18.5,191002048,1036.303,2.5538993,0
5942,55:18.5,191034104,1037.2964,2.5333955,0
5943,55:18.6,191066160,1033.653,2.1362851,0
5944,55:18.6,191098220,1037.387,2.2779205,0
5945,55:18.6,191130272,1036.9185,2.2224205,0
5946,55:18.7,191162316,1037.913,2.4419308,0
5947,55:18.7,191194376,1040.3643,2.2045252,0
5948,55:18.8,191226424,1040.4685,2.094043,0
5949,55:18.8,191258472,1042.0549,2.2469442,0
5950,55:18.8,191290516,1041.0132,2.4998815,0
5951,55:18.8,191322568,1037.1378,2.2567279,0
5952,55:18.9,191354620,1038.212,2.1817801,0
5953,55:18.9,191386668,1036.225,2.4950452,0
5954,55:18.9,191418728,1037.1707,2.3886707,0
5955,55:19.0,191450780,1033.8027,2.0843332,0
5956,55:19.0,191482820,1039.9878,2.5911765,0
5957,55:19.0,191514880,1038.1157,2.0134954,0
5958,55:19.1,191546924,1035.4573,2.1902874,0
5959,55:19.1,191578976,1039.808,2.2130373,0
5960,55:19.1,191611028,1036.9651,2.4221134,0
5961,55:19.1,191643080,1036.8842,2.261456,0
5962,55:19.2,191675128,1040.4879,2.1608434,0
5963,55:19.2,191707180,1036.7576,2.4545672,0
5964,55:19.3,191739244,1036.4369,2.6699066,0
5965,55:19.3,191770312,1037.3535,1.9782802,0
5966,55:19.3,191802348,1035.7798,2.526217,0
5967,55:19.4,191833404,1036.2411,2.1563671,0
5968,55:19.4,191865456,1039.999,2.318382,0
5969,55:19.4,191897516,1036.5887,2.239315,0
5970,55:19.4,191929560,1037.657,2.1125987,0
5971,55:19.5,191960624,1035.3142,2.2552702,0
5972,55:19.5,191992664,1039.389,2.416616,0
5973,55:19.5,192024724,1036.7588,2.2103267,0
5974,55:19.6,192056784,1037.2659,2.3157318,0
5975,55:19.6,192088828,1040.0013,2.3132293,0
5976,55:19.7,192120852,1039.2686,2.4250555,0
5977,55:19.7,192152908,1034.2579,2.3641031,0
5978,55:19.7,192184956,1036.7063,2.4961183,0
5979,55:19.7,192216996,1030.5414,2.2844145,0
5980,55:19.8,192249036,1036.213,2.3411305,0
5981,55:19.8,192281076,1039.0392,2.3405957,0
5982,55:19.8,192313116,1036.3666,2.468955,0
5983,55:19.9,192344180,1036.4995,2.4155197,0
5984,55:19.9,192375248,1035.4938,2.3466558,0
5985,55:19.9,192407300,1035.1663,2.2674711,0
5986,55:20.0,192439352,1040.0858,2.2548056,0
5987,55:20.0,192471408,1037.5546,2.5601251,0
5988,55:20.0,192503460,1036.7426,2.2640798,0
5989,55:20.0,192535512,1038.2214,2.3439381,0
5990,55:20.1,192567552,1038.6951,2.3653092,0
5991,55:20.1,192599604,1040.1073,2.1488092,0
5992,55:20.2,192631656,1037.9247,2.2994368,0
5993,55:20.2,192663708,1036.9054,2.3421123,0
5994,55:20.2,192695760,1035.1226,2.2973602,0
5995,55:20.2,192727800,1040.5118,2.0923188,0
5996,55:20.3,192759848,1038.8251,2.0572362,0
5997,55:20.3,192791904,1035.6143,2.1812198,0
5998,55:20.3,192823960,1040.4404,2.1046207,0
5999,55:20.4,192856004,1033.5677,2.3091998,0
6000,55:20.4,192888060,1037.8612,2.2427046,0
6001,55:20.5,192920112,1038.3481,2.2311382,0
6002,55:20.5,192952160,1036.8719,2.5434391,0
6003,55:20.5,192984212,1042.1482,2.2262542,0
6004,55:20.5,193016268,1037.8524,2.3132043,0
6005,55:20.6,193048312,1039.5579,2.3116562,0
6006,55:20.6,193080368,1042.8154,2.3033445,0
6007,55:20.6,193112420,1038.4208,2.4140134,0
6008,55:20.7,193144472,1038.8356,2.0434959,0
6009,55:20.7,193176528,1038.6344,2.7677567,0
6010,55:20.7,193208576,1035.1191,2.2384832,0
6011,55:20.8,193240624,1033.3846,2.5011618,0
6012,55:20.8,193272672,1040.0076,2.2832422,0
6013,55:20.8,193304716,1033.5961,2.3552599,0
6014,55:20.9,193335780,1040.3297,2.1361351,0
6015,55:20.9,193367824,1032.4976,2.4294322,0
6016,55:20.9,193399884,1038.8361,2.1047313,0
6017,55:21.0,193431936,1037.504,2.4156163,0
6018,55:21.0,193463972,1039.1428,2.2081132,0
6019,55:21.0,193496020,1039.1274,2.6737735,0
6020,55:21.0,193528060,1037.33,2.2567794,0
6021,55:21.1,193559124,1036.9764,2.429528,0
6022,55:21.1,193590188,1037.3308,2.2887802,0
6023,55:21.2,193622244,1042.5513,2.6288662,0
6024,55:21.2,193654296,1033.9714,2.350584,0
6025,55:21.2,193686340,1036.2917,2.1898489,0
6026,55:21.2,193718400,1038.171,2.187402,0
6027,55:21.3,193750452,1038.0446,2.1226313,0
6028,55:21.3,193782484,1035.1589,2.4866676,0
6029,55:21.3,193813548,1034.2701,2.0864546,0
6030,55:21.4,193845600,1034.9529,2.3968079,0
6031,55:21.4,193876660,1039.3877,2.2437296,0
6032,55:21.4,193908712,1040.1226,2.4319584,0
6033,55:21.5,193940764,1039.2715,2.237807,0
6034,55:21.5,193972816,1042.5601,2.3213804,0
6035,55:21.5,194004852,1039.4395,2.3078256,0
6036,55:21.5,194036896,1037.4642,2.2569859,0
6037,55:21.6,194067960,1038.9175,2.3044434,0
6038,55:21.6,194100012,1036.2028,2.4314318,0
6039,55:21.7,194132060,1040.089,2.272548,0
6040,55:21.7,194163128,1036.6636,2.4673042,0
6041,55:21.7,194195180,1038.2833,2.497144,0
6042,55:21.8,194227236,1030.3972,2.2915759,0
6043,55:21.8,194259296,1033.2921,2.2653008,0
6044,55:21.8,194291344,1036.9639,2.3445218,0
6045,55:21.8,194323392,1038.2094,2.2256005,0
6046,55:21.9,194355436,1038.4871,2.3696978,0
6047,55:21.9,194386504,1037.0776,2.3757939,0
6048,55:21.9,194418556,1036.9149,2.4196129,0
6049,55:22.0,194450612,1038.7249,2.3352802,0
6050,55:22.0,194482668,1040.1111,2.4949052,0
6051,55:22.0,194514716,1041.3607,2.441752,0
6052,55:22.1,194546756,1036.4586,2.3752918,0
6053,55:22.1,194578816,1036.0448,2.585633,0
6054,55:22.1,194610856,1037.4241,2.2376509,0
6055,55:22.2,194642900,1036.4462,2.3009171,0
6056,55:22.2,194674944,1034.5352,2.2669573,0
6057,55:22.2,194706996,1035.7299,2.4443727,0
6058,55:22.3,194738048,1038.1595,2.184473,0
6059,55:22.3,194770100,1034.4597,2.3724473,0
6060,55:22.3,194802156,1039.5457,2.080462,0
6061,55:22.3,194834216,1038.8773,2.5547538,0
6062,55:22.4,194865276,1033.6377,2.314877,0
6063,55:22.4,194897340,1037.7257,2.2868593,0
6064,55:22.5,194929392,1036.6368,2.377496,0
6065,55:22.5,194961440,1037.3215,2.3609986,0
6066,55:22.5,194993500,1035.1655,2.5177233,0
6067,55:22.6,195025552,1036.0439,2.2293894,0
6068,55:22.6,195057596,1035.0315,2.399478,0
6069,55:22.6,195089652,1037.8861,2.3038623,0
6070,55:22.6,195121704,1035.9443,2.5045455,0
6071,55:22.7,195153748,1041.5758,2.4213684,0
6072,55:22.7,195185796,1038.4764,2.4774277,0
6073,55:22.7,195216868,1042.7289,2.2292068,0
6074,55:22.8,195248916,1036.0525,2.4778156,0
6075,55:22.8,195280968,1041.8054,2.3309643,0
6076,55:22.9,195313024,1038.1031,2.2974613,0
6077,55:22.9,195345072,1035.6543,2.6852326,0
6078,55:22.9,195377128,1036.6279,2.6011426,0
6079,55:22.9,195409172,1038.5797,2.2954464,0
6080,55:23.0,195440244,1042.1522,2.2342796,0
6081,55:23.0,195472288,1035.8223,2.2948503,0
6082,55:23.0,195504332,1039.443,2.4767463,0
6083,55:23.1,195536392,1039.4087,2.3203394,0
6084,55:23.1,195568440,1037.7786,2.4828844,0
6085,55:23.1,195600500,1039.687,2.4427052,0
6086,55:23.1,195632560,1036.2268,2.3047717,0
6087,55:23.2,195664600,1034.7266,2.5180354,0
6088,55:23.2,195696656,1036.8915,2.240926,0
6089,55:23.2,195728704,1037.6792,2.5371609,0
6090,55:23.3,195760764,1033.7413,2.2550638,0
6091,55:23.3,195792812,1032.2616,2.3577793,0
6092,55:23.4,195824868,1040.0076,2.4298155,0
6093,55:23.4,195856916,1039.304,2.1653104,0
6094,55:23.4,195888964,1040.2711,2.3637953,0
6095,55:23.4,195921012,1044.0067,2.2351651,0
6096,55:23.5,195953064,1039.4402,2.1550169,0
6097,55:23.5,195985100,1039.61,2.2475269,0
6098,55:23.5,196017156,1036.6818,2.544812,0
6099,55:23.6,196049216,1038.5824,2.6835737,0
6100,55:23.6,196080272,1034.5693,2.4989033,0
6101,55:23.7,196112320,1034.6283,2.3359656,0
6102,55:23.7,196144372,1041.3364,2.319386,0
6103,55:23.7,196176424,1037.0131,2.1345541,0
6104,55:23.7,196208452,1034.8789,2.2639256,0
6105,55:23.8,196240504,1035.4929,2.0415723,0
6106,55:23.8,196272560,1040.6873,2.0674534,0
6107,55:23.8,196304612,1041.5311,2.5061836,0
6108,55:23.9,196336660,1044.6066,2.3431683,0
6109,55:23.9,196368716,1041.4463,2.5683086,0
6110,55:23.9,196400764,1034.735,2.4922209,0
6111,55:23.9,196432820,1039.2634,2.5850704,0
6112,55:24.0,196464864,1031.7919,2.2931249,0
6113,55:24.0,196496920,1038.7013,2.4359045,0
6114,55:24.1,196528972,1030.1398,2.2136421,4
6115,55:24.1,196561016,1035.4819,2.2401206,4
6116,55:24.1,196593072,1034.5391,1.9732423,4
6117,55:24.2,196625112,1047.6431,1.9801328,4
6118,55:24.2,196657140,1041.0557,1.841531,4
6119,55:24.2,196689172,1042.6542,2.4624631,4
6120,55:24.2,196721228,1037.2936,2.6781132,4
6121,55:24.3,196753280,1038.9877,2.9869933,4
6122,55:24.3,196784340,1035.3098,2.2828851,4
6123,55:24.3,196816392,1032.9274,2.5415618,4
6124,55:24.4,196848436,1032.3862,1.9292263,4
6125,55:24.4,196880460,1038.8613,1.8760556,4
6126,55:24.4,196912504,1036.9708,1.9070891,4
6127,55:24.5,196944540,1052.51,2.1302276,4
6128,55:24.5,196976564,1038.6331,2.155395,4
6129,55:24.5,197008608,1043.0448,2.6226702,4
6130,55:24.6,197040656,1039.7902,2.7658527,4
6131,55:24.6,197072712,1044.161,2.9674518,4
6132,55:24.6,197104752,1035.9725,2.8548415,4
6133,55:24.7,197135820,1031.1157,2.5087254,4
6134,55:24.7,197167856,1037.2135,2.1835268,4
6135,55:24.7,197199900,1028.8187,2.3223081,4
6136,55:24.8,197231948,1039.5913,2.0469112,4
6137,55:24.8,197263992,1039.5371,2.0951266,4
6138,55:24.8,197296036,1037.8303,2.2481225,4
6139,55:24.8,197328084,1042.7294,2.5853069,4
6140,55:24.9,197360144,1038.2037,2.454828,4
6141,55:24.9,197392192,1059.525,3.1031384,4
6142,55:25.0,197424228,1031.7584,3.9619851,4
6143,55:25.0,197456288,1036.2111,1.8765985,4
6144,55:25.0,197488320,1032.2605,3.2441797,4
6145,55:25.0,197520368,1037.0497,2.2668548,4
6146,55:25.1,197551428,1019.6423,1.8489755,4
6147,55:25.1,197583468,1046.0275,2.6813929,4
6148,55:25.1,197615524,1035.9459,1.2610445,4
6149,55:25.2,197647552,1045.23,2.1786163,4
6150,55:25.2,197679608,1032.4133,1.0652231,4
6151,55:25.2,197711628,1060.2158,2.7228496,4
6152,55:25.3,197743680,1037.4041,2.0194418,4
6153,55:25.3,197775724,1045.6234,2.9117515,4
6154,55:25.3,197807780,1035.5875,2.9445608,4
6155,55:25.4,197839828,1035.605,3.253022,4
6156,55:25.4,197871876,1017.9774,2.2302117,4
6157,55:25.4,197903920,1036.4636,2.6310351,4
6158,55:25.5,197935976,1028.3342,2.1227958,4
6159,55:25.5,197968028,1038.0017,1.7053872,4
6160,55:25.5,198000068,1039.176,1.4663925,4
6161,55:25.6,198032104,1041.9635,1.4841281,4
6162,55:25.6,198064144,1037.3557,1.8434896,4
6163,55:25.6,198096188,1047.9197,2.5092475,4
6164,55:25.6,198127244,1036.3336,3.2171631,4
6165,55:25.7,198159280,1042.3059,2.9430382,4
6166,55:25.7,198191316,1029.5397,3.0087783,4
6167,55:25.8,198223372,1034.7786,2.5418711,4
6168,55:25.8,198255428,1027.5413,2.6788735,4
6169,55:25.8,198287480,1031.6781,2.4967012,4
6170,55:25.9,198319532,1027.4917,2.2145493,4
6171,55:25.9,198351584,1043.6439,1.7210331,4
6172,55:25.9,198383612,1047.0515,1.8185667,4
6173,55:25.9,198415660,1035.6963,1.7717452,4
6174,55:26.0,198447704,1045.7223,1.9382116,4
6175,55:26.0,198479736,1032.8857,2.0518107,4
6176,55:26.0,198511792,1042.4932,2.8411992,4
6177,55:26.1,198543848,1036.9662,2.8537199,4
6178,55:26.1,198574912,1039.6492,3.1887767,4
6179,55:26.1,198606964,1037.2506,2.8700724,4
6180,55:26.2,198639020,1039.4827,2.5664947,4
6181,55:26.2,198671080,1034.8965,1.9709548,4
6182,55:26.2,198703124,1031.4407,2.0010114,4
6183,55:26.3,198735152,1026.4712,2.2098656,4
6184,55:26.3,198766208,1039.1812,1.8380508,4
6185,55:26.3,198798244,1042.5614,2.2165065,4
6186,55:26.4,198830296,1036.8971,2.4192519,4
6187,55:26.4,198862348,1048.619,2.3790624,4
6188,55:26.4,198894408,1034.887,2.6931438,4
6189,55:26.5,198926468,1035.218,3.0087781,4
6190,55:26.5,198958520,1037.3033,2.9332318,4
